,project_name,bid_classification,bid_type,Category
1421,Pc Hardware Devices And Managed Services,Services,Request for Information (RFI),
1424,Honeywell Security System Maintenance Non-Proprietary Parts & Labour,Services,Request for Tender(RFT),
1426,Microtunnelling Sub-Contractor For Construciton Of The Proposed Watermain Under The Cn Railway Tracks On Keele Street (Yr 6) North Of Steeles Avenue,Construction,Request for Pre-Qualification(RFPQ),
1429,Consultants For Detailed Design And Engineering Services For 16Th Avenue (Y.R. 73) From Leslie Street (Y.R. 12) To Woodbine Avenue (Y.R.8),Services,Request for Pre-Qualification(RFPQ),
1440,Sale Of 28 Various Surplus Buses,Goods,Request for Quotation(RFQ),
1442,"Mechanical And Electrical Upgrades To Newmarket Magna Elevated Tank And Stouffville Zone 2 Elevated Tank - 1030 Ivsbridge Blvd, Newmarket And 12519 Tenth Line, Stouffville",Construction,Request for Tender(RFT),
1444,"General Contractors, Mechanical And Electrical Subcontractors For The Construction Of The York Regional Police #1 District Headquarters At 429 Harry Walker Parkway In The Town Of Newmarket",Construction,Request for Pre-Qualification(RFPQ),
1469,Janitorial Services For Housing York Inc. At Various Locations Across York Region,Services,Request for Tender(RFT),
1480,"General Contractor For The Bridge Rehabilitation On King Road (Yr 11), 800 M East Of Hwy 400 And Jane Street (Yr55)M 150 M North Of King Road In The City Of Vaughan",Construction,Request for Pre-Qualification(RFPQ),
1495,"Request For Pre-Qualification For Pcs/Scada Engineering, Programming And Integration Services",Services,Request for Pre-Qualification(RFPQ),
1501,Materials Testing And Evaluation Services For Minor Capital Projects Various Locations Throughout York Region,Services,Request for Pre-Qualification(RFPQ),
1512,York Region Transit Mapping Services & York Region Cycling Map Design Services,Services,Request for Proposal(RFP),
1515,Lenel Onguard Value Added Resellers,Services,Request for Pre-Qualification(RFPQ),
1521,Licensed Electrical Contractors For The Installation Of Lenel Security Systems,Services,Request for Pre-Qualification(RFPQ),
1524,New Emergency Power Generator System At 194 Eagle Street And 200 Eagle Street In The Town Of Newmarket,Construction,Request for Tender(RFT),
1527,"Interior Lighting Retrofit Of Fluorescent Lamps With Led Lamps - York Region Administrative Centre, 17250 Yonge Street, Newmarket",Construction,Request for Tender(RFT),
1531,Aerial And Underground Fibre Optic Design And Installation In Various Locations In The Town Of Georgina,Construction,Request for Tender(RFT),
1540,"Main Transformer Replacement At 145 Harry Walker Parkway North, Newmarket",Construction,Request for Tender(RFT),
1551,Delivery Of York Region'S Homelessness Prevention Program,Services,Request for Proposal(RFP),
1556,"Replacement Of Security Access Control And Cctv Systems At 90 Bales Drive East, East Gwillimbury",Construction,Request for Tender(RFT),
1558,"Make-Up Air Unit Replacements At Nobleview Pines, 48 Wilsen Road, Nobleton",Construction,Request for Tender(RFT),
1563,Request For Academic Partner To Study Impacts Of Food Waste Grinders In Multi-Residential Settings In York Region,Services,Request for Proposal(RFP),
1565,Rehabilitation Of The North Don Collector Sanitary Sewer Along The Don River East Branch Valley Corridor Between 407-Etr And Yonge Street (From Mh83-05 To Mh83-19) In The Cities Of Vaughan And Markham,Construction,Request for Tender(RFT),
1567,Supply And Delivery Of Gasoline And Diesel Fuels,Goods,Request for Tender(RFT),
1572,Pest Control Services,Services,Request for Tender(RFT),
1582,Supply And Installation Of Coordinated Street Furniture At Various Transit Facilities In The Region Of York,Services,Request for Tender(RFT),
1584,"Supply Of All Labour, Materials And Equipment For The Provision Of Wet Well Cleaning Services And Vacuum Truck Services At Sewage Pumping  Stations In The Regional Municipality Of York",Services,Request for Tender(RFT),
1587,Graffiti Removal At York Region Transit Facilities,Services,Request for Tender(RFT),
1592,Elevator Maintenance At York Region Transit Facilities,Services,Request for Tender(RFT),
1593,Goods & Services - Provision Of Check Point Firewall Maintenance And Support,Services,Request for Tender(RFT),
1598,Emergency Vacuum And Haulage Truck Services For York Region,Services,Request for Proposal(RFP),
1603,Highway 27 Cp Bridge Replacement Between Martin Grove Road And Rutherford Road In The City Of Vaughan,Construction,Request for Tender(RFT),
1612,Interior Renovations At Paramedic Response Station #28 Located At 171 Major Mackenzie Drive In The City Of Richmond Hill,Construction,Request for Tender(RFT),
1636,"Professional And Engineering Services For The Pre-Design, Detailed Design And Contract Administration For The Digester Mixing And Electrical Upgrades Of Complexes I And Ii At The Duffin Creek Water Pollution Control Plant",Services,Request for Proposal(RFP),
1640,Interior Renovation And Windows Replacement At Paramedic Response Station #23 Located At 280 Church Street In The City Of Markham,Construction,Request for Tender(RFT),
1661,Materials Testing And Evaluation Services Under Contract 17-103,Services,Request for Tender(RFT),
1672,"General Contractors For Renovation Projects At South Services Centre At 50 High Tech Road, Town Of Richmond Hill",Construction,Request for Pre-Qualification(RFPQ),
1689,Subcontractor For Construction Of The Proposed Concrete Pressure Pipe Watermain On Keele Street North Of Steeles Avenue,Construction,Request for Pre-Qualification(RFPQ),
1705,Panasonic Toughbooks And Docking Stations,Goods,Request for Tender(RFT),
1715,Individual Environmental Assessment And Engineering Services Consultants For Teston Road Area (Y.R.49) Between Highway 400 And Bathurst Street (Y.R.38),Services,Request for Proposal(RFP),
1720,"Pre- Qualification Of Consultants For Design, Contract, Administration And Site Inspection  Services For The Primary Trunk Rehabilitation Project",Services,Request for Pre-Qualification(RFPQ),
1723,Request For Information For Corporate Purchasing Cards,Services,Request for Information (RFI),
1726,Consulting Services For York Region’S Long Term Water Conservation Strategy Update,Services,Request for Proposal(RFP),
1729,General Contractors For The Jane Dufferin Collector  Gravity Sewer Rehabilitation,Construction,Request for Pre-Qualification(RFPQ),
1734,"Keswick Water Resource Recovery Facility (Wrrf) Sludge Thickening Tank And Secondary Clarifiers Rehabilitation At 153 Morton Avenue, Town Of Georgina",Construction,Request for Tender(RFT),
1739,"Morton Air Management Facility Upgrades At 82 Morton Avenue, Keswick, In The Town Of Georgina, Ontario",Construction,Request for Tender(RFT),
1742,Security Information Event Management System (Siem),Services,Request for Proposal(RFP),
1755,Underground And Aerial Fibre Optic Design And Installation In Various Locations In The City Of Markham,Construction,Request for Tender(RFT),
1764,King City Fisher Street Elevated Tank Upgrades Located At 60 Fisher Street In The Township Of King,Construction,Request for Tender(RFT),
1769,Construction Of Paramedic Response Station No. 29 At 107 Glen Cameron Road In The City Of Markham,Construction,Request for Tender(RFT),
1774,"Design, Contract Administration And Site Inspection  Services For The Northeast Vaughan Wastewater Servicing Project",Services,Request for Proposal(RFP),
1777,"Design, Contract Administration And Site Inspection  Services For The Northeast Vaughan Water Servicing Project",Services,Request for Proposal(RFP),
1780,Winter Road Maintenance Snow Removal And Hauling Within The Central Patrol District In The Regional Municipality Of York,Services,Request for Tender(RFT),
1783,Community And Health Services Access York Voice Recognition Contact Centre Solution,Services,Request for Information (RFI),
1787,"Parking Lot Membrane Replacement - Lakeside Residences, 17 The Queensway South, Keswick, On",Construction,Request for Tender(RFT),
1793,Cooling Tower Replacement At York Region Administrative Centre,Construction,Request for Tender(RFT),
1795,Supply And Delivery Of Panasonic Toughbooks And Related Accessories,Services,Request for Tender(RFT),
1802,Supply & Delivery Of Apple Ipads With A Device Enrollment Program (Dep) And Related Accessories,Goods,Request for Tender(RFT),
1807,Sharepoint 2010 Migration,Services,Request for Proposal(RFP),
1815,Printing Of York Region Matters Newsletter,Services,Request for Tender(RFT),
1820,Renovation Of Three Bridge Areas At York Region Administrative Centre At 17250 Yonge Street In Newmarket,Construction,Request for Tender(RFT),
1825,Summer/Winter Grounds Maintenance For Housing York Inc. Properties,Services,Request for Tender(RFT),
1829,"2019-2020 Monitoring Well Optimization Project, Well Construction, Testing And Decommissioning",Construction,Request for Proposal(RFP),
1831,Partial Fire Line Replacement At 194 Eagle Street In Newmarket,Construction,Request for Tender(RFT),
1836,"Window Replacements At Lakeside Residences, 17 The Queensway South, Keswick, On",Construction,Request for Tender(RFT),
1843,Supply And Delivery Of Chevrolet Tahoe Special Service Vehicles For Paramedic Services,Services,Request for Tender(RFT),
1844,Supply & Delivery Of Light And Medium Duty Vans,Goods,Request for Tender(RFT),
1847,Detail Design And Engineering Services For Dufferin Street (Y.R. 53) From Apple Blossom Drive To Marc Santi Boulevard,Services,Request for Proposal(RFP),
1851,Keswick Adult Day Program Center Renovations At Keswick Gardens Located At 43 The Queensway North In The Town Of Georgina,Construction,Request for Tender(RFT),
1860,Video Surveillance System And Preventive And Corrective Maintenance For York Region Transit,Services,Request for Tender(RFT),
1866,"Structural Sub-Contractor For Construction Of The Proposed Roadway Bridge Structure Over The Cn Railway Tracks On Keele Street (Y.R. 6), North Of Steeles Avenue",Construction,Request for Pre-Qualification(RFPQ),
1877,Pre-Qualification Of General Contractors For Planting And Landscape Establishment Actives Including Watering,Services,Request for Pre-Qualification(RFPQ),
1882,Detailed Design And Engineering Services For Ninth Line (Yr 69) From Steeles Avenue To Fieldside Street,Services,Request for Pre-Qualification(RFPQ),
1890,Goods & Services - Wireless Audio Visual Device(S),Services,Request for Tender(RFT),
1891,Benefit Consultant Price Structure,Services,Request for Information (RFI),
1893,Installation Of Permanent Traffic Control Signals On Teston Road (Y.R. 49) At Mosque Gate In The City Of Vaughan,Construction,Request for Tender(RFT),
1896,Installation Of Temporary And Permanent Traffic Control Signals On 16Th Avenue (Y.R. 73) At Berwick Crescent In The Town Of Richmond Hill And Modification Of Existing Traffic Control Signals On Keele Street (Y.R. 6) At Dina Road In The City Of Vaughan,Construction,Request for Tender(RFT),
1899,Supply And Delivery Of Dedicated Transportation Services For York Region'S Long Term Care Homes,Services,Request for Tender(RFT),
1901,"Installation Of Illumination At Various Locations In The Town Of East Gwillimbury, The Town Of Georgina, The City Of Markham, The Township Of King And The Town Of Newmarket",Construction,Request for Tender(RFT),
1904,Supply And Delivery Of Woundcare Supplies For York Region Long Term Care Homes,Goods,Request for Tender(RFT),
1907,Provision Of Various Alarm Monitoring Services For York Region,Goods,Request for Proposal(RFP),
1912,Installation Of Permanent Traffic Control Signals On Highway 7 (Y.R. 7) At Albert Street/Cosburn Road In The City Of Markham,Construction,Request for Tender(RFT),
1915,Road Widening And Reconstruction - Leslie Street (Y.R. 12) From 450M North Of Elgin Mills Road (Y.R. 49) To 100M South Of 19Th Avenue (Y.R. 29) In The City Of Richmond Hill,Construction,Request for Tender(RFT),
1927,"Architectural And Engineering Services For Renovation Project At The York Region Administrative Centre, Newmarket",Services,Request for Proposal(RFP),
1934,Supply And Delivery Of Healthcare Supplies For York Region'S Long-Term Care Homes,Goods,Request for Tender(RFT),
